"","S942","S955","S952","S962","S958","T895","T909","T911","T913","S956","T902","T906","T908","S959","S960","T894","T904","T907","T898","T901","S945","S951","T912","T910","T905","T903","S941","S954","T918","S957","S946","T893","T919","S944","T914","S947","T916","T900","T917","T897","T915"
"TSPAN6",1,17,43,1,162,0,0,0,171,101,62,0,16,54,76,44,1,50,1,31,11,0,0,0,0,20,183,99,44,17,19,14,31,41,5,2,111,20,0,140,0
"TNMD",0,0,23,2,13,0,0,0,1,0,21,22,2,7,8,2,6,24,8,0,6,0,0,0,0,4,8,3,6,0,4,0,26,0,0,0,1,10,0,0,0
"DPM1",2,7,10,2,150,2,0,2,161,29,38,3,11,82,14,120,2,50,0,26,13,6,1,2,54,10,103,65,15,9,4,14,21,34,8,1,79,12,0,78,0
"SCYL3",0,1,24,4,488,0,0,15,346,151,135,45,4,163,21,436,1,312,12,102,25,5,0,0,62,5,285,178,77,65,56,1,48,25,3,13,108,58,1,231,4
"C1orf112",0,1,46,9,385,5,0,1,330,112,149,39,10,120,37,286,16,217,3,72,49,9,4,5,55,16,158,109,88,51,44,2,23,99,1,3,88,45,3,95,0
"FGR",0,0,20,2,18,0,0,0,48,16,85,0,9,55,2,39,0,36,0,22,8,23,5,0,13,14,65,68,12,0,47,0,1,42,0,0,21,47,1,31,0
"CFH",0,0,32,4,5066,0,0,2,720,23,256,1,10,153,23,34,1,107,0,668,9,38,0,5,134,12,2500,383,61,548,43,46,42,54,0,108,1421,46,3,2418,6
"FUCA2",1,2,8,0,302,0,4,3,544,91,63,52,0,101,49,189,26,119,6,4,5,40,0,10,64,12,262,395,29,34,21,23,38,115,5,24,243,21,0,224,17
"GCLC",1,11,28,2,125,4,2,15,344,175,125,57,12,146,20,88,20,76,10,33,64,19,7,9,31,27,483,558,57,208,37,7,80,113,11,34,350,39,0,387,6
"NFYA",2,4,13,0,253,2,0,1,318,164,56,26,3,171,53,138,0,117,0,68,33,23,2,1,30,33,432,369,11,42,20,47,80,72,0,37,390,34,0,409,1
"STPG1",0,1,48,5,148,0,0,1,95,24,120,2,12,70,45,62,0,63,4,6,40,2,12,17,1,20,172,74,22,18,47,26,20,87,0,15,91,47,2,110,2
"NIPAL3",0,8,75,2,114,28,0,50,509,79,148,6,7,1499,160,171,0,260,18,99,59,49,0,9,30,73,536,193,109,60,58,77,49,163,9,22,465,62,1,422,0
"LAS1L",0,2,109,1,344,1,0,51,369,422,173,74,0,355,225,551,92,648,4,77,55,47,1,39,463,22,432,477,28,61,45,36,57,63,4,56,422,46,1,347,2
"ENPP4",0,1,20,0,18,0,0,2,57,2,20,2,1,48,0,59,7,56,1,38,26,1,0,0,10,14,267,2,14,17,14,14,2,65,1,0,190,17,0,237,0
"SEMA3F",1,13,12,4,65,1,1,9,256,15,38,15,4,96,49,53,46,96,7,39,10,0,6,7,125,20,67,135,24,12,18,23,153,47,3,19,27,18,0,28,0
"CFTR",2,0,50,3,9,0,0,0,0,4,94,0,5,4,0,165,0,7,0,0,20,0,1,0,8,27,57,1,58,6,44,0,4,88,0,0,3,50,0,2,0
"ANKIB1",0,4,61,8,1558,4,0,7,2137,212,179,169,4,494,202,685,39,467,9,130,37,84,47,20,151,31,918,449,99,151,30,88,88,110,8,30,949,30,0,810,4
"CYP51A1",0,3,1,1,32,0,0,1,28,7,14,0,0,2,23,12,0,44,0,2,6,0,14,0,10,3,23,35,15,20,1,12,31,25,1,8,45,1,0,14,0
"KRIT1",2,4,61,3,1008,1,0,1,1075,263,144,176,15,249,67,478,26,309,21,59,43,100,80,28,101,27,598,321,49,88,32,110,78,28,0,35,533,32,2,506,2
"RAD52",1,1,15,0,426,0,0,1,179,195,82,92,6,200,62,186,4,249,1,71,6,40,0,0,54,3,164,252,19,23,11,25,37,27,16,30,171,21,3,135,0
"BAD",0,2,14,1,177,5,0,3,132,96,78,36,6,233,122,223,0,272,0,10,11,82,1,4,62,13,270,226,10,36,8,86,55,92,3,15,314,9,0,245,2
"LAP3",1,7,51,7,196,2,0,10,557,52,115,24,8,377,63,100,39,230,5,39,24,7,5,20,65,35,187,847,48,27,34,40,13,84,6,8,390,36,3,119,0
"CD99",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"HS3ST1",0,17,38,6,42,3,0,0,136,22,73,10,11,65,22,7,0,141,7,2,54,2,8,14,2,46,71,6,62,7,74,0,12,112,6,0,9,82,0,10,0
"AOC1",0,0,19,0,4,0,0,2,12,0,38,0,0,2,0,18,0,9,0,0,11,0,0,0,0,4,28,19,11,5,32,0,22,74,0,18,2,32,4,8,0
"WNT16",0,0,11,6,5,0,0,0,27,3,13,60,7,6,0,8,0,5,9,0,25,0,0,0,0,5,6,0,20,0,9,0,0,1,8,0,0,9,1,0,0
"HECW1",2,0,46,1,132,4,0,35,167,3,110,0,10,1,61,26,0,3,27,0,65,0,8,46,2,31,87,5,42,5,40,0,59,71,0,1,2,45,0,3,19
"MAD1L1",0,11,42,5,572,5,0,21,417,116,167,144,18,241,172,191,62,332,6,22,16,7,16,14,42,21,217,321,24,57,28,13,170,109,4,12,210,37,0,180,0
"LASP1",0,38,56,16,1401,20,0,17,3133,346,357,212,11,3299,1057,898,167,923,6,439,70,193,29,57,672,90,1457,985,145,337,44,153,328,129,11,190,1719,82,1,1346,9
"SNX11",0,0,56,1,135,0,0,15,201,52,60,68,0,167,51,119,21,107,0,6,19,19,1,5,100,22,188,200,31,31,13,78,51,98,3,10,183,14,4,147,0
"TMEM176A",0,4,22,0,51,0,0,2,89,12,170,1,1,17,1,323,54,78,6,0,12,0,4,18,326,24,38,641,7,96,22,22,25,32,20,304,78,22,1,30,0
"M6PR",1,8,14,1,454,6,0,5,577,182,125,104,2,420,211,307,0,406,15,34,47,3,1,2,316,14,434,285,53,42,16,2,51,73,10,25,343,17,0,392,2
"KLHL13",0,0,20,0,143,0,0,1,7,520,150,60,0,107,5,283,0,60,0,13,8,0,0,0,12,6,104,67,25,1,11,15,1,33,0,0,56,11,1,79,0
"CYP26B1",0,5,9,0,237,0,0,4,240,6,73,42,0,111,82,173,22,267,0,25,19,0,3,21,264,15,17,19,12,11,24,0,261,25,20,142,17,24,0,6,14
"ICA1",0,1,48,2,90,0,0,3,54,9,73,11,10,43,1,20,0,21,0,0,20,40,7,0,4,22,237,150,14,29,10,18,16,109,0,0,79,10,0,199,0
"DBNDD1",0,0,5,0,7,0,0,1,99,11,7,12,1,1,0,38,0,18,8,0,16,4,1,0,3,0,90,5,7,4,4,0,3,32,21,8,51,4,0,78,28
"ALS2",0,2,58,3,380,1,1,7,239,216,224,162,12,372,125,305,14,241,2,69,92,63,10,6,105,27,403,620,110,42,25,47,86,143,37,33,302,43,0,297,18
"CASP10",1,9,57,4,168,2,0,13,237,31,239,49,10,568,12,95,1,66,2,16,38,7,1,0,45,17,107,393,43,3,38,6,24,40,36,13,159,48,1,57,8
"CFLAR",5,62,114,4,2463,10,0,11,1173,1098,1189,335,37,2136,306,2941,87,1784,24,661,75,326,50,173,960,116,3268,6790,248,548,76,469,246,332,71,388,2414,97,6,2985,8
"TFPI",0,0,34,2,905,0,8,30,380,80,236,1,13,432,28,63,27,61,11,471,51,22,4,0,1344,17,773,233,64,93,42,128,18,86,10,30,580,48,1,689,4
"NDUFAF7",0,3,3,1,130,0,0,1,118,96,83,0,8,229,34,169,24,88,8,10,22,44,0,16,59,7,176,229,24,30,20,26,33,54,20,28,125,20,1,148,0
"RBM5",1,3,33,6,2339,7,1,23,1621,1489,489,253,29,1160,934,2025,33,1757,1,438,80,267,23,17,769,30,3138,2568,68,289,92,488,421,113,15,208,1990,93,4,2998,11
"MTMR7",0,0,33,3,295,0,0,4,151,75,57,0,4,139,44,125,0,39,0,65,7,0,8,0,17,4,112,56,33,12,25,24,10,37,6,0,35,28,0,64,14
"SLC7A2",0,1,23,0,255,0,0,32,826,60,90,280,5,3168,52,95,1,62,0,782,48,1,0,0,105,1,90,150,39,24,51,78,65,37,34,0,83,51,0,54,0
"ARF5",0,2,13,1,147,13,1,1,380,68,73,231,0,184,64,165,26,177,1,34,23,58,0,8,55,18,130,157,26,32,10,30,64,49,0,24,211,22,0,83,0
"SARM1",0,0,94,2,445,12,0,29,548,536,243,370,9,374,167,1481,0,954,30,122,44,139,0,104,194,43,946,651,50,214,21,182,121,96,0,132,752,35,0,921,8
"POLDIP2",1,8,39,5,260,8,0,3,614,211,169,165,1,602,122,445,5,539,3,41,23,42,12,72,100,43,508,653,37,155,24,141,62,61,5,48,706,30,0,460,0
"PLXND1",1,0,81,7,2027,6,9,44,3023,458,788,572,32,4656,505,960,248,808,54,644,65,78,18,145,685,19,657,940,13,132,52,163,511,134,0,165,1078,60,7,610,32
"AK2",2,15,51,8,474,8,0,43,1160,247,293,187,5,675,294,507,29,359,4,111,18,28,8,5,229,32,654,227,80,36,15,137,154,237,20,40,437,15,7,561,3
"CD38",0,0,63,0,3,0,0,0,120,0,63,23,5,24,7,9,0,18,8,0,21,5,0,0,4,8,48,74,36,0,47,0,1,26,34,8,15,55,0,11,0
"FKBP4",0,31,9,1,482,5,1,10,1298,223,231,215,21,329,196,394,3,296,0,48,39,38,2,28,158,57,392,306,98,76,43,94,204,197,30,93,279,44,1,302,20
"KDM1A",2,6,27,11,612,11,1,56,589,315,214,113,11,552,259,487,2,393,4,150,28,28,6,61,121,44,511,319,65,77,22,133,317,89,12,15,451,24,0,425,26
"RBM6",0,7,42,11,1184,17,5,23,1098,1110,319,380,15,859,438,2127,45,1559,4,468,33,251,33,23,528,50,1710,3020,51,220,45,166,273,81,6,190,1480,51,2,1569,8
"CAMKK1",0,1,33,0,200,22,0,0,129,102,111,0,8,697,70,123,0,222,0,24,17,53,4,0,90,33,224,368,10,41,31,21,79,83,2,28,202,45,0,194,1
"RECQL",0,2,3,5,470,2,0,15,814,87,121,3,5,437,25,306,2,264,7,58,20,10,1,2,88,14,218,230,24,22,22,4,11,32,2,6,178,31,0,180,4
"CCDC132",1,15,25,0,403,7,0,29,364,103,150,9,0,120,40,199,0,153,8,14,25,17,14,2,37,43,255,121,73,50,18,55,17,15,31,12,198,32,0,202,6
"HSPB6",0,0,61,0,452,4,0,36,645,321,800,2138,27,22,22,1446,6,367,7,22,35,642,1,1,638,10,2663,1487,25,609,23,2132,454,79,78,530,3114,23,0,2637,0
"ARHGAP33",0,1,69,11,313,10,0,0,143,294,97,184,14,798,464,428,92,1608,4,53,18,423,0,20,141,37,683,466,24,361,41,377,137,82,26,283,609,41,1,661,0
"NDUFAB1",0,7,23,0,60,7,0,21,232,53,37,20,7,74,11,65,2,36,1,30,11,0,0,0,34,19,100,131,39,28,1,2,15,46,12,8,96,3,1,61,0
"PDK4",0,1,18,0,991,0,0,1,451,69,185,3,3,124,0,414,8,542,0,104,23,0,0,0,76,18,61,60,34,4,26,30,20,71,0,2,9,33,5,10,3
"SLC22A16",0,0,10,0,3,0,0,0,5,4,60,0,4,6,0,6,0,1,0,8,9,0,0,0,0,8,13,0,11,0,4,0,1,36,0,0,0,4,0,1,0
"ZMYND10",0,4,16,1,67,4,0,0,15,29,54,13,5,35,44,75,0,56,0,8,10,0,6,0,3,20,12,13,12,4,17,12,4,15,0,0,12,17,0,1,0
"ABCB5",0,0,48,0,25,0,0,3,2,10,102,72,7,0,0,370,0,2,14,0,47,4,2,8,238,14,81,0,94,3,22,0,3,44,17,0,0,22,0,0,1
"ARX",0,4,6,0,2,0,0,22,0,0,10,1,0,1,0,0,0,0,0,0,10,4,0,0,0,4,20,0,8,4,14,0,0,4,0,0,0,14,0,0,0
"SLC25A13",4,6,14,4,322,1,0,0,506,61,147,34,5,88,3,280,0,199,3,13,24,8,0,10,19,15,256,107,56,20,14,7,37,21,2,4,126,14,0,165,0
"ST7",0,1,42,4,271,7,1,72,360,137,118,48,12,235,72,283,1,214,8,22,39,94,1,0,76,18,474,151,42,72,55,96,30,87,2,10,460,55,0,410,0
"CDC27",12,39,662,16,789,34,0,132,1644,367,863,215,96,1674,282,753,44,521,81,142,449,63,40,151,202,321,1463,590,442,179,540,92,221,1394,181,64,646,697,17,706,158
"SLC4A1",0,0,52,2,0,0,0,16,0,0,13,12,8,5,2,14,0,1,1,0,8,0,0,0,6,13,31,0,19,2,30,0,0,103,0,0,0,34,0,2,20
"CALCR",0,2,13,0,1,0,0,0,9,0,19,0,2,2,8,0,0,0,0,0,7,7,2,0,0,13,27,0,40,1,8,0,0,14,0,0,1,8,0,0,0
"HCCS",2,2,19,0,150,1,0,2,116,30,49,1,0,56,50,83,14,58,0,25,3,20,1,22,17,3,79,39,24,6,9,22,3,47,1,4,50,9,0,45,0
"DVL2",0,1,54,6,259,9,8,4,257,252,82,239,12,258,208,463,48,569,0,62,60,102,5,13,72,26,374,577,46,232,22,27,171,70,1,72,329,22,0,316,10
"PRSS22",0,24,35,0,0,15,0,1,0,2,101,0,1,0,2,8,0,2,2,1,30,0,0,1,0,65,86,0,85,21,20,0,5,58,13,0,1,23,0,1,0
"UPF1",0,2,57,6,830,10,7,35,745,343,237,392,26,914,349,1035,24,724,21,85,51,175,24,122,577,14,1190,1478,38,253,40,257,582,146,6,119,1397,48,0,1130,1
"SKAP2",0,7,18,0,201,2,1,4,473,3,109,1,8,458,46,152,3,100,0,23,23,24,6,14,133,14,114,344,55,54,44,62,21,43,18,29,724,45,2,20,2
"SLC25A5",0,59,38,6,298,7,5,2,755,118,162,82,11,454,135,344,30,312,1,86,46,32,5,11,142,91,292,300,100,39,28,25,57,158,46,15,167,37,0,155,0
"CCDC109B",0,1,30,0,110,1,0,1,193,27,49,0,0,106,19,61,3,86,1,1,10,43,1,23,30,5,154,103,21,6,8,1,1,18,6,6,137,23,0,110,0
"HOXA11",0,0,22,6,65,4,1,1,23,289,32,792,7,0,10,2,30,17,2,0,18,0,0,37,8,5,122,0,16,45,16,0,11,0,0,14,472,23,0,109,0
"POLR2J",0,2,6,3,114,5,0,3,175,14,37,24,2,104,15,94,8,66,0,5,1,10,1,0,40,11,66,54,15,22,22,12,23,42,0,9,102,22,0,52,0
"DHX33",0,0,16,0,218,0,0,12,305,111,74,73,2,154,71,266,21,137,3,58,14,35,0,0,90,12,267,243,26,105,3,14,68,83,0,17,229,9,0,224,0
"MEOX1",0,1,4,0,79,0,0,1,2,12,69,19,1,38,6,38,0,58,4,42,9,0,0,0,0,5,26,8,20,4,5,26,169,2,0,0,5,5,0,9,0
"THSD7A",0,4,35,1,88,0,0,16,210,433,103,7,4,107,20,96,0,100,4,0,58,0,2,6,10,18,225,326,50,22,28,19,69,168,0,13,16,51,0,158,12
"LIG3",1,6,21,1,277,1,6,2,278,318,189,175,8,324,204,501,44,377,2,48,41,70,5,13,36,21,368,505,42,73,43,31,207,135,0,62,248,43,1,322,19
"RPAP3",1,2,7,0,240,0,0,1,165,67,93,26,5,137,4,170,1,99,0,47,36,4,0,0,6,11,109,159,33,55,10,24,73,17,24,6,98,10,0,71,0
"ACSM3",0,0,36,4,37,0,0,2,24,50,123,75,5,39,0,33,0,4,6,1,16,22,1,0,22,10,94,80,49,53,13,10,2,53,16,4,238,14,0,48,3
"AC004381.6",1,0,19,7,64,0,0,1,96,16,117,44,6,90,32,57,28,86,9,12,29,27,6,0,28,1,70,106,21,16,22,3,15,25,24,32,52,42,1,32,5
"CIAPIN1",0,10,2,3,147,2,0,0,229,68,112,18,4,135,59,113,1,50,1,20,21,20,7,0,19,21,158,230,45,36,13,83,51,22,5,0,126,14,1,123,0
"FAM214B",0,10,26,2,244,0,0,1,248,105,219,142,8,336,117,238,12,224,11,37,68,27,2,0,152,16,390,200,40,28,43,43,48,99,45,16,338,43,8,307,7
"COPZ2",0,0,20,11,391,0,1,18,470,70,93,40,0,116,52,309,3,105,0,91,26,1,1,0,140,8,159,121,13,28,10,76,25,45,11,29,233,11,0,130,3
"PRKAR2B",0,0,29,2,76,0,0,0,45,91,40,8,1,21,3,84,0,49,0,21,42,176,0,46,12,1,2953,916,39,360,9,631,6,33,14,188,2264,9,2,2916,1
"MSL3",0,5,41,10,402,0,0,11,439,104,97,49,9,227,111,192,22,167,1,42,20,8,14,0,67,5,225,214,27,18,14,16,24,22,29,32,194,22,0,149,18
"CREBBP",2,7,171,14,1943,21,9,27,2277,1479,698,738,43,3469,450,1518,52,3115,4,299,61,241,0,63,807,61,1763,2382,85,435,110,330,557,185,73,140,1686,121,2,1653,18
"BZRAP1",0,0,54,8,350,6,0,12,40,1816,374,921,20,43,81,3671,0,3782,8,0,53,67,2,1,58,18,637,1440,57,159,45,42,169,93,0,190,705,76,1,564,2
"MPO",0,0,24,10,0,6,0,12,10,0,16,15,2,0,0,2,1,1,0,0,4,0,0,0,4,8,37,27,12,10,5,0,13,27,0,2,0,5,0,8,0
"PON1",0,0,46,0,23,10,0,0,1,0,39,0,0,0,0,8,40,0,1,0,10,12,0,0,0,12,51,3,28,5,13,0,0,79,0,0,30,13,0,20,0
"GCFC2",0,3,6,1,260,1,4,3,187,288,69,55,16,348,55,199,0,166,7,49,23,39,0,0,66,6,394,295,42,45,8,62,57,43,15,3,174,8,0,362,3
"WDR54",4,6,7,0,73,0,0,0,64,47,25,12,0,26,46,37,0,27,4,40,4,16,0,3,22,9,79,35,37,36,12,11,20,40,0,0,60,12,0,52,10
"CROT",0,6,30,0,92,0,0,0,195,50,104,47,0,49,20,182,0,54,2,0,36,14,4,0,31,13,220,56,49,31,9,18,9,56,2,6,116,9,0,149,6
"ABCB4",0,0,78,5,31,0,0,1,24,8,92,62,0,50,0,180,0,102,4,14,33,4,24,0,4,26,102,19,56,11,13,0,10,63,0,2,12,13,0,38,0
"KMT2E",0,1,54,14,2450,18,14,45,1604,1111,495,314,8,1899,294,2347,173,1820,32,520,72,165,10,37,326,38,1428,1115,67,310,50,180,235,171,3,85,1522,76,3,1262,2
"RHBDD2",0,8,43,0,281,1,0,1,289,106,37,44,7,180,119,288,1,194,0,92,22,103,6,53,128,13,518,185,18,96,15,133,129,113,3,34,427,16,0,479,0
"SOX8",0,2,5,1,163,0,0,0,4,19,19,1,1,9,10,1,0,9,0,232,0,0,0,55,1,2,56,2,7,77,14,0,138,68,0,0,10,14,0,47,0
"IBTK",4,15,59,3,582,14,1,8,927,304,173,20,23,741,130,472,0,260,5,228,49,19,2,28,177,57,816,582,94,51,53,39,65,40,27,39,717,54,1,707,38
"ZNF195",0,6,9,3,237,0,0,28,214,98,120,23,13,247,85,137,1,100,8,39,61,65,5,14,44,16,285,205,46,32,40,38,35,157,1,16,122,50,1,233,6
"MYCBP2",6,12,33,15,1644,17,1,17,1572,831,625,15,30,1520,385,1850,65,1068,15,615,89,218,5,69,803,67,1943,2159,166,249,55,201,154,187,12,54,2356,64,1,1759,16
"FBXL3",0,4,7,1,274,1,0,6,347,134,140,3,1,292,59,388,16,256,0,126,43,8,1,5,61,14,464,211,46,12,3,26,26,57,13,6,297,16,0,418,4
"ITGAL",0,0,80,3,18,0,0,6,152,11,90,62,0,96,14,58,32,91,16,0,42,36,0,0,76,7,152,322,32,8,30,27,13,139,0,0,151,32,0,91,0
"PDK2",1,1,48,2,198,0,0,0,155,197,133,123,2,255,59,287,49,187,3,33,20,50,0,56,22,24,422,251,21,83,37,73,59,105,0,27,479,49,1,391,0
"ITGA3",1,87,73,28,160,13,3,2,371,210,444,239,13,194,229,823,1,668,12,229,96,85,35,29,25,142,646,644,246,131,86,102,95,228,79,44,288,103,0,373,16
"ZFX",2,9,9,1,1734,2,2,1,1248,619,249,162,11,1039,183,1962,56,815,2,115,30,134,1,11,195,15,1017,623,86,115,24,189,156,15,17,70,764,24,4,908,23
"LAMP2",1,29,38,4,1061,14,1,7,1652,261,236,176,8,694,331,542,28,314,2,91,70,31,18,74,272,91,410,245,82,22,33,69,109,107,36,54,266,40,1,265,2
"GGNBP2",1,9,32,0,423,9,0,5,541,188,230,67,22,661,102,478,19,335,1,68,40,28,0,10,60,35,594,610,175,103,31,64,45,53,3,59,475,41,3,512,5
"ITGA2B",0,12,46,0,29,0,0,7,6,38,59,120,2,14,23,18,0,35,1,0,28,5,0,26,0,35,52,39,33,62,19,18,15,80,0,0,52,22,0,27,0
"ASB4",0,4,35,0,6,0,0,8,0,0,66,0,0,0,0,1,0,0,6,0,12,0,3,0,0,8,26,8,6,3,20,0,5,12,0,0,0,20,6,15,0
"GDE1",0,28,23,2,380,4,0,13,404,109,223,157,21,207,84,257,2,138,0,2,78,19,1,33,110,74,512,373,114,111,22,73,31,28,14,11,514,26,0,449,10
"C19orf60",0,0,18,4,358,0,0,2,221,63,83,115,5,258,84,285,25,116,6,44,19,22,8,44,123,0,194,335,20,37,29,40,144,43,0,52,191,36,0,168,12
"CRLF1",0,0,23,0,121,0,0,10,54,19,115,0,0,49,24,52,0,45,0,146,4,25,0,0,29,3,25,19,17,11,38,0,153,16,0,0,55,45,0,22,0
"OSBPL7",0,0,19,0,158,1,0,2,195,128,96,85,8,259,237,102,1,156,5,18,25,37,0,0,127,17,342,339,16,135,37,95,59,55,9,34,329,51,0,291,4
"TMEM98",1,2,14,0,160,0,0,1,185,149,51,97,6,188,138,119,0,166,5,278,21,18,1,1,57,9,156,396,26,39,21,31,62,98,2,60,159,23,1,117,5
"YBX2",1,0,19,4,5,1,0,0,6,67,77,24,22,1,0,20,0,5,8,0,27,0,0,0,0,2,23,4,17,14,12,0,48,0,0,0,17,12,10,4,0
"KRT33A",0,1,24,0,0,0,0,0,0,0,5,23,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,6,1,2,0,0,0,0,0,0,2,0,0,0
"ABCC8",0,0,35,2,110,0,0,2,2,15,47,1,27,1,0,19,0,72,0,0,52,0,2,0,53,1,55,1,24,25,85,0,0,127,0,1,2,91,0,30,0
"CCL18",0,0,16,0,0,0,0,0,18,8,13,0,0,2,1,0,0,1,1,0,9,0,0,0,0,0,8,0,8,0,0,0,0,0,0,0,8,0,0,0,0
"CCL3",0,0,0,0,13,0,0,0,79,0,15,0,1,15,0,4,0,2,6,0,5,0,0,0,2,0,16,35,11,0,5,0,0,39,0,0,16,11,6,1,1
"SYNRG",0,28,82,12,669,6,0,30,738,462,287,412,2,983,244,583,103,409,12,139,71,175,6,28,148,51,1044,828,172,375,63,169,210,149,12,100,1004,70,1,933,0
"CACNG3",1,0,16,2,0,0,0,3,0,1,14,0,0,0,0,0,0,0,0,0,8,0,0,26,0,10,9,0,13,1,38,0,0,70,5,0,0,38,2,0,0
"TMEM132A",2,19,33,6,81,4,2,0,358,124,135,372,8,224,137,127,102,119,1,13,36,79,17,131,63,44,520,807,72,300,75,200,517,73,24,165,604,87,0,388,23
"AP2B1",4,22,39,14,878,11,1,5,1774,518,408,270,8,1251,345,980,8,783,1,293,98,104,12,58,191,49,2070,1695,164,441,45,233,199,198,25,197,1985,59,10,1967,17
"TAC1",0,0,6,0,4,0,0,0,0,6,18,0,1,0,0,0,0,0,5,0,8,0,0,0,0,2,26,0,7,0,10,0,94,32,0,0,0,10,0,0,0
"ZNF263",2,6,65,1,533,13,0,50,573,203,289,117,9,671,104,362,0,569,3,98,68,102,1,5,247,43,559,617,84,117,24,25,120,136,3,87,445,25,1,486,23
"CX3CL1",0,0,29,1,34,0,0,1,20,36,213,152,20,77,1,666,0,121,2,14,4,6,0,0,11,48,64,383,2,0,15,10,21,102,18,6,56,26,0,35,0
"SPATA20",0,5,45,2,414,1,0,2,495,192,153,152,0,234,185,290,18,382,0,12,27,80,7,59,396,34,263,1155,16,154,24,26,106,32,1,42,544,27,0,245,6
"CACNA1G",0,0,107,4,21,16,0,8,264,66,104,4,22,596,41,33,16,94,8,0,29,0,1,28,230,30,57,30,46,16,26,0,665,150,0,10,17,27,0,17,23
"TNFRSF12A",1,15,15,5,48,2,0,10,1168,15,137,86,4,200,270,94,24,161,0,49,19,1,6,6,30,33,68,16,50,18,17,1,85,338,16,0,23,26,0,26,0
"DLX6",0,0,14,0,13,0,0,0,3,0,73,0,0,1,22,92,0,83,6,1,3,0,0,0,0,2,43,0,4,1,15,0,7,76,18,10,0,15,0,0,0
"MAP3K9",0,15,29,1,22,9,0,12,47,18,146,2,14,23,6,145,0,223,0,8,110,2,1,30,5,40,256,72,76,81,53,5,79,178,6,28,79,80,6,126,1
"RALA",0,12,16,8,285,9,1,30,1174,113,107,126,5,615,226,135,0,180,6,52,20,16,3,3,144,22,186,104,56,32,32,41,105,21,5,9,100,37,1,140,1
"BAIAP2L1",0,3,35,6,225,3,1,9,335,69,44,85,3,54,306,109,0,72,7,16,32,16,9,19,11,16,112,72,30,34,41,36,56,73,2,4,76,48,1,73,0
"JHDM1D",0,3,49,5,481,2,1,2,771,390,115,43,4,350,86,456,10,192,0,181,56,5,12,9,273,25,477,230,63,28,47,28,46,166,27,5,216,51,0,374,1
"ETV1",0,0,68,3,419,0,1,28,500,34,134,34,2,46,11,124,0,52,6,394,44,336,0,23,96,29,3130,1583,80,540,19,834,71,114,45,292,3116,19,2,3045,0
"AGK",0,4,31,1,254,1,0,9,481,196,188,94,7,255,72,460,50,193,3,56,29,14,14,5,57,28,407,167,34,38,63,54,54,47,1,12,130,81,0,330,12
"ALDH3B1",0,1,33,1,197,0,0,9,290,24,94,219,6,108,56,174,36,231,4,26,19,11,15,37,119,1,71,22,19,19,15,5,8,81,6,10,85,15,0,32,0
"TTC22",0,4,97,6,5,0,0,18,8,0,27,0,10,3,0,5,0,8,2,1,15,1,0,0,4,17,27,14,22,3,26,0,5,1,1,1,7,26,1,0,0
"PHTF2",2,7,32,5,502,1,1,3,1110,140,148,1,3,399,43,338,1,365,0,53,51,41,4,0,50,25,366,152,71,60,30,73,38,66,17,24,228,42,3,304,1
"CCL26",0,10,8,0,3,0,0,0,7,0,42,0,2,0,0,0,0,3,0,0,2,8,0,0,0,18,2,4,0,0,2,0,1,6,0,0,0,2,0,0,0
"FARP2",4,9,54,0,717,13,0,16,493,402,187,262,23,503,118,341,1,649,6,221,42,64,11,70,111,58,518,1058,70,134,47,120,134,43,10,47,641,62,1,444,19
"USH1C",0,6,18,5,0,0,0,9,0,0,32,0,18,0,0,8,0,0,1,6,18,3,0,0,0,14,20,0,15,2,46,0,23,238,0,0,0,59,2,0,0
"GGCT",1,7,22,1,101,2,0,1,282,49,75,19,2,181,41,85,0,68,0,14,8,0,0,1,49,16,68,42,31,8,7,5,22,50,3,1,34,7,0,45,0
"DBF4",0,0,11,0,105,1,0,1,274,16,87,17,3,84,26,90,0,101,2,18,23,6,29,2,22,9,69,31,21,14,19,2,23,49,12,2,30,22,0,37,0
"TBXA2R",0,0,2,0,29,1,0,0,32,27,33,138,0,43,42,179,0,91,2,0,7,1,1,0,88,5,53,207,11,86,4,4,20,0,4,7,164,4,1,35,0
"IFRD1",0,23,17,2,674,2,0,2,538,159,236,223,12,469,48,650,7,367,3,10,36,24,24,1,89,37,252,84,106,70,58,122,101,113,23,0,225,76,2,163,0
"LGALS14",0,0,30,1,0,0,0,2,0,0,2,0,0,0,0,0,0,0,2,0,5,0,0,0,0,0,2,0,14,4,10,0,0,12,0,0,0,10,0,0,0
"COX10",0,2,4,6,123,0,0,2,112,71,16,1,0,167,31,138,20,180,1,1,57,0,0,0,34,6,143,124,30,57,29,30,18,70,0,9,82,29,2,120,0
"GTF2IRD1",1,5,43,0,281,4,4,20,437,186,132,166,4,206,217,291,14,352,7,41,38,81,30,38,172,27,344,368,33,177,18,97,344,62,0,70,277,23,0,300,0
"PAF1",0,7,69,0,553,8,0,19,211,118,130,156,11,340,101,214,22,366,1,46,18,46,1,0,95,30,268,296,23,59,4,42,65,57,1,43,268,5,0,219,0
